pid,p_name,p_issue,p_sub_district,p_district,p_province
1,โครงการที่ 14,สิ่งแวดล้อม,บ้านต้าย,พนมทวน,ปราจีนบุรี
2,โครงการที่ 3,การจัดการน้ำ,เหล่างาม,เดิมบางนางบวช,นราธิวาส
3,โครงการที่ 12,ผู้สูงอายุ,ธาตุทอง,เมืองเชียงใหม่,เชียงใหม่
4,โครงการที่ 3,การจัดการน้ำ,ท่าหลวง,แม่ริม,นครราชสีมา
5,โครงการที่ 19,สิ่งแวดล้อม,หนองครก,ขามทะเลสอ,หนองคาย
6,โครงการที่ 11,การจัดการน้ำ,บางขัน,เมืองเลย,กาญจนบุรี
7,โครงการที่ 4,เหล้าบุหรี่,บุพราหมณ์,ไทรงาม,สงขลา
8,โครงการที่ 1,ผู้สูงอายุ,ไทรทอง,เมืองสมุทรสาคร,ชลบุรี
9,โครงการที่ 7,เหล้าบุหรี่,ไชยมงคล,นากลาง,เชียงราย
10,โครงการที่ 2,การจัดการน้ำ,ทวีวัฒนา,บ้านโพธิ์,ศรีสะเกษ
11,โครงการที่ 2,การจัดการน้ำ,ทรัพย์ไพวัลย์,ไชยา,นครพนม
12,โครงการที่ 14,เหล้าบุหรี่,โนนกลาง,วังโป่ง,ปัตตานี
13,โครงการที่ 6,เด็กและเยาวชน,สำโรงตาเจ็น,ท่าตูม,ศรีสะเกษ
14,โครงการที่ 6,การจัดการน้ำ,ตลาดพลู,เมืองเชียงราย,ปัตตานี
15,โครงการที่ 17,สุขภาพกาย,บ้านโพธิ์,เขาฉกรรจ์,ชัยภูมิ
16,โครงการที่ 14,สุขภาพกาย,โคกสว่าง,สิงหนคร,สระบุรี
17,โครงการที่ 20,เหล้าบุหรี่,ตะบิ้ง,บางละมุง,เลย
18,โครงการที่ 9,เด็กและเยาวชน,หนองบัวทอง,เมืองศรีสะเกษ,เพชรบูรณ์
19,โครงการที่ 10,การจัดการน้ำ,ท้ายช้าง,บางเลน,จันทบุรี
20,โครงการที่ 3,เด็กและเยาวชน,ละหาร,แก่งคอย,ชุมพร
21,โครงการที่ 9,สิ่งแวดล้อม,ควนทอง,เชียงแสน,ตรัง
22,โครงการที่ 14,การจัดการน้ำ,สันมะเค็ด,ปลายพระยา,ลพบุรี
23,โครงการที่ 4,เด็กและเยาวชน,ทับพริก,ดินแดง,เพชรบูรณ์
24,โครงการที่ 17,เด็กและเยาวชน,ม่วงสามสิบ,คลองท่อม,สกลนคร
25,โครงการที่ 11,สิ่งแวดล้อม,สามขา,บางน้ำเปรี้ยว,ชัยภูมิ
26,โครงการที่ 6,เหล้าบุหรี่,โนนกอก,บ้านดุง,สุโขทัย
27,โครงการที่ 15,สุขภาพกาย,ห้วยสัตว์ใหญ่,เมืองพิษณุโลก,สุพรรณบุรี
28,โครงการที่ 13,เด็กและเยาวชน,มะเกลือเก่า,อาจสามารถ,ร้อยเอ็ด
29,โครงการที่ 8,การจัดการน้ำ,ชีวาน,เมืองระยอง,สระแก้ว
30,โครงการที่ 12,เหล้าบุหรี่,ทุ่งนุ้ย,ฆ้องชัย,ลำพูน
31,โครงการที่ 3,เด็กและเยาวชน,คลองไทร,ปากช่อง,อุดรธานี
32,โครงการที่ 5,เหล้าบุหรี่,เขาทอง,บุ่งคล้า,บุรีรัมย์
33,โครงการที่ 19,สุขภาพกาย,บ้านร่อม,สว่างแดนดิน,เชียงราย
34,โครงการที่ 10,ผู้สูงอายุ,คลองหิน,หนองบัว,ราชบุรี
35,โครงการที่ 1,เด็กและเยาวชน,โคกสะอาด,เมืองหนองคาย,ฉะเชิงเทรา
36,โครงการที่ 16,ผู้สูงอายุ,ครบุรีใต้,กะเปอร์,สระบุรี
37,โครงการที่ 4,สุขภาพกาย,บ้านโสก,สามเงา,บึงกาฬ
38,โครงการที่ 9,เหล้าบุหรี่,ฝั่งแดง,ระแงะ,สงขลา
39,โครงการที่ 17,สิ่งแวดล้อม,หนองสาหร่าย,พนัสนิคม,ประจวบคีรีขันธ์
40,โครงการที่ 9,สุขภาพกาย,เขาพระบาท,เสนา,บุรีรัมย์
41,โครงการที่ 1,ผู้สูงอายุ,ฆ้องชัยพัฒนา,ดอนมดแดง,ระยอง
42,โครงการที่ 13,เด็กและเยาวชน,ทุ่งศรีทอง,บำเหน็จณรงค์,พิจิตร
43,โครงการที่ 7,สุขภาพกาย,กู่ทอง,ปราสาท,สงขลา
44,โครงการที่ 7,เหล้าบุหรี่,สตึก,พิบูลมังสาหาร,เลย
45,โครงการที่ 10,สุขภาพกาย,ดอนกระเบื้อง,ท่าฉาง,กรุงเทพมหานคร
46,โครงการที่ 9,ผู้สูงอายุ,คลองสามประเวศ,เชียงขวัญ,เพชรบุรี
47,โครงการที่ 13,เด็กและเยาวชน,บ้านหอย,ปง,ลพบุรี
48,โครงการที่ 18,สิ่งแวดล้อม,ผักขวง,วังสะพุง,ปัตตานี
49,โครงการที่ 17,การจัดการน้ำ,ท่าตุ้ม,ฉวาง,นราธิวาส
50,โครงการที่ 15,สุขภาพกาย,มะเขือแจ้,มหาราช,บุรีรัมย์
51,โครงการที่ 4,การจัดการน้ำ,หนองหอย,เนินมะปราง,ตรัง
52,โครงการที่ 18,เด็กและเยาวชน,สวนแตง,บางแพ,ลำปาง
53,โครงการที่ 15,ผู้สูงอายุ,โนนทอง,โป่งน้ำร้อน,ตาก
54,โครงการที่ 19,สุขภาพกาย,ดอนกระเบื้อง,สำโรงทาบ,นครสวรรค์
55,โครงการที่ 20,สิ่งแวดล้อม,ธาตุ,อาจสามารถ,สุราษฎร์ธานี
56,โครงการที่ 17,การจัดการน้ำ,คันโช้ง,เกษตรสมบูรณ์,ร้อยเอ็ด
57,โครงการที่ 15,ผู้สูงอายุ,ป่าขาด,กุฉินารายณ์,กรุงเทพมหานคร
58,โครงการที่ 1,ผู้สูงอายุ,โคกสนวน,สายบุรี,นครราชสีมา
59,โครงการที่ 20,เหล้าบุหรี่,แสมดำ,บรบือ,นราธิวาส
60,โครงการที่ 6,ผู้สูงอายุ,ธรรมามูล,เมืองเพชรบุรี,สุราษฎร์ธานี
61,โครงการที่ 12,การจัดการน้ำ,สำโรงเหนือ,บ้านดุง,นครสวรรค์
62,โครงการที่ 6,ผู้สูงอายุ,ดอนปรู,เขาย้อย,ตรัง
63,โครงการที่ 16,สุขภาพกาย,ฉลุง,ปทุมวัน,นครราชสีมา
64,โครงการที่ 15,สุขภาพกาย,หนองทัพไทย,ยางตลาด,เชียงใหม่
65,โครงการที่ 3,ผู้สูงอายุ,พรมเทพ,แม่จัน,กาฬสินธุ์
66,โครงการที่ 14,เด็กและเยาวชน,ท่าเสน,จักราช,เพชรบูรณ์
67,โครงการที่ 18,สิ่งแวดล้อม,บางบริบูรณ์,มายอ,เพชรบุรี
68,โครงการที่ 20,เหล้าบุหรี่,โซง,บันนังสตา,แม่ฮ่องสอน
69,โครงการที่ 12,ผู้สูงอายุ,ดงใหญ่,จังหาร,ระยอง
70,โครงการที่ 8,เหล้าบุหรี่,ดงเดือย,ห้วยคต,นครศรีธรรมราช
71,โครงการที่ 7,เหล้าบุหรี่,ท่าวังตาล,เมืองตราด,อุดรธานี
72,โครงการที่ 16,ผู้สูงอายุ,เหมืองจี้,พระยืน,ศรีสะเกษ
73,โครงการที่ 12,สุขภาพกาย,กุดจิก,วิเชียรบุรี,นครสวรรค์
74,โครงการที่ 7,เหล้าบุหรี่,หนองแวง,ยะหา,สุรินทร์
75,โครงการที่ 9,เหล้าบุหรี่,ท้ายดง,ภูเพียง,สมุทรปราการ
76,โครงการที่ 15,ผู้สูงอายุ,หนองยาว,โพนพิสัย,เพชรบูรณ์
77,โครงการที่ 1,สิ่งแวดล้อม,บางบ่อ,พระประแดง,ภูเก็ต
78,โครงการที่ 9,สิ่งแวดล้อม,วังยาว,ฮอด,อุตรดิตถ์
79,โครงการที่ 19,สิ่งแวดล้อม,ศิลาแลง,เมืองร้อยเอ็ด,นครนายก
80,โครงการที่ 3,การจัดการน้ำ,โคกเพลาะ,เขื่องใน,นครศรีธรรมราช
81,โครงการที่ 3,สิ่งแวดล้อม,ท่าข้าวเปลือก,เหนือคลอง,ยโสธร
82,โครงการที่ 13,สุขภาพกาย,กระโสม,กันทรารมย์,ลพบุรี
83,โครงการที่ 3,ผู้สูงอายุ,ควนมะพร้าว,บางบัวทอง,จันทบุรี
84,โครงการที่ 15,สิ่งแวดล้อม,กระบี่น้อย,บางแก้ว,สุราษฎร์ธานี
85,โครงการที่ 7,เด็กและเยาวชน,ธาตุ,ศรีเชียงใหม่,ขอนแก่น
86,โครงการที่ 3,เด็กและเยาวชน,ท่ามะนาว,เกษตรวิสัย,นครพนม
87,โครงการที่ 7,การจัดการน้ำ,เกวียนหัก,เมืองพิจิตร,สระแก้ว
88,โครงการที่ 19,เหล้าบุหรี่,ปะโค,วารินชำราบ,ชัยภูมิ
89,โครงการที่ 1,สุขภาพกาย,เนินศาลา,กาญจนดิษฐ์,ร้อยเอ็ด
90,โครงการที่ 16,สุขภาพกาย,เชียงบาน,พานทอง,ตาก
91,โครงการที่ 17,สุขภาพกาย,หนองโน,แกลง,น่าน
92,โครงการที่ 14,เหล้าบุหรี่,อ่าวน้อย,ทองผาภูมิ,เชียงราย
93,โครงการที่ 15,ผู้สูงอายุ,คำไหล,กำแพงแสน,อ่างทอง
94,โครงการที่ 5,ผู้สูงอายุ,บางขวัญ,นาโยง,กาฬสินธุ์
95,โครงการที่ 11,สุขภาพกาย,ใจดี,เขาค้อ,สุรินทร์
96,โครงการที่ 4,เด็กและเยาวชน,แหลมกลัด,หนองโดน,อุดรธานี
