tid,t_name,t_issue,t_sub_district,t_district,t_province
1,โครงการที่ 17,ปัจจัยเสี่ยง,ลาดพร้าว,ป่าบอน,มุกดาหาร
2,โครงการที่ 7,ปัจจัยเสี่ยง,คลองสาม,สบเมย,มหาสารคาม
3,โครงการที่ 5,ความมั่นคงทางอาหาร,น้ำแก่น,บางปะอิน,ศรีสะเกษ
4,โครงการที่ 18,น้ำ,นาสวน,น้ำพอง,อ่างทอง
5,โครงการที่ 11,ขยะ,ซำยาง,เมืองหนองบัวลำภู,นครพนม
6,โครงการที่ 2,บุหรี่ไฟฟ้า,รังสิต,มะนัง,สระบุรี
7,โครงการที่ 10,สังคมสูงอายุ,หัวเมือง,หนองแซง,กรุงเทพมหานคร
8,โครงการที่ 2,น้ำ,ขยาย,แม่อาย,นครราชสีมา
9,โครงการที่ 13,เยาวชน,นาดี,พรานกระต่าย,นครพนม
10,โครงการที่ 3,ปัจจัยเสี่ยง,เมืองชุม,เหนือคลอง,พระนครศรีอยุธยา
11,โครงการที่ 20,น้ำ,พนานิคม,สวี,มุกดาหาร
12,โครงการที่ 4,บุหรี่ไฟฟ้า,วังมะปรางเหนือ,บางเลน,พระนครศรีอยุธยา
13,โครงการที่ 16,น้ำ,ลาดยาว,สรรคบุรี,นครศรีธรรมราช
14,โครงการที่ 4,เยาวชน,ไผ่ล้อม,บางปะอิน,เพชรบูรณ์
15,โครงการที่ 14,ปัจจัยเสี่ยง,สระพัง,ลาดกระบัง,นราธิวาส
16,โครงการที่ 10,น้ำ,บ้านช้าง,บัวเชด,ลำปาง
17,โครงการที่ 3,น้ำ,แม่เหาะ,ตระการพืชผล,ปราจีนบุรี
18,โครงการที่ 4,บุหรี่ไฟฟ้า,คู้ลำพัน,เมืองอุตรดิตถ์,ประจวบคีรีขันธ์
19,โครงการที่ 7,ความมั่นคงทางอาหาร,สามเสนนอก,ป่าซาง,นครศรีธรรมราช
20,โครงการที่ 17,สังคมสูงอายุ,ตะโหมด,หาดใหญ่,ยะลา
21,โครงการที่ 17,ปัจจัยเสี่ยง,ปากคลอง,บางระจัน,ฉะเชิงเทรา
22,โครงการที่ 20,บุหรี่ไฟฟ้า,พร่อน,จอมพระ,ขอนแก่น
23,โครงการที่ 11,บุหรี่ไฟฟ้า,เมืองแก,เมืองเชียงใหม่,สมุทรปราการ
24,โครงการที่ 7,โรคไม่ติดต่อ,ป่าชิง,ระโนด,ตรัง
25,โครงการที่ 9,เยาวชน,สุขไพบูลย์,อรัญประเทศ,กาญจนบุรี
26,โครงการที่ 11,โรคไม่ติดต่อ,ตาเมียง,เมืองอุทัยธานี,กาญจนบุรี
27,โครงการที่ 11,เยาวชน,ช่องเม็ก,เมืองนครพนม,กาญจนบุรี
28,โครงการที่ 19,เยาวชน,สองแพรก,เมืองนครศรีธรรมราช,นครราชสีมา
29,โครงการที่ 9,บุหรี่ไฟฟ้า,รัตนวารี,เมืองบุรีรัมย์,กำแพงเพชร
30,โครงการที่ 4,เยาวชน,บ้านโพธิ์,ท่าแพ,ร้อยเอ็ด
31,โครงการที่ 3,เยาวชน,ท่าขึ้น,สีคิ้ว,สุราษฎร์ธานี
32,โครงการที่ 4,บุหรี่ไฟฟ้า,ป่าซาง,เมืองบุรีรัมย์,ปัตตานี
33,โครงการที่ 9,บุหรี่ไฟฟ้า,ดงเมือง,เมืองอ่างทอง,นครปฐม
34,โครงการที่ 6,บุหรี่ไฟฟ้า,วัดสน,แม่ทา,กรุงเทพมหานคร
35,โครงการที่ 9,บุหรี่ไฟฟ้า,ลำนารายณ์,บ้านสร้าง,อุดรธานี
36,โครงการที่ 9,เยาวชน,ผาน้ำย้อย,เกษตรวิสัย,นครนายก
37,โครงการที่ 13,ความมั่นคงทางอาหาร,คลองกระจง,กาญจนดิษฐ์,พิษณุโลก
38,โครงการที่ 5,บุหรี่ไฟฟ้า,สำโรง,เมืองอุบลราชธานี,ตรัง
39,โครงการที่ 5,น้ำ,มุกดาหาร,สวรรคโลก,อุบลราชธานี
40,โครงการที่ 5,บุหรี่ไฟฟ้า,ดอนเจดีย์,ยะรัง,ศรีสะเกษ
41,โครงการที่ 13,ความมั่นคงทางอาหาร,คลองด่าน,พรหมพิราม,ราชบุรี
42,โครงการที่ 1,สังคมสูงอายุ,นาโพธิ์กลาง,วังเจ้า,ขอนแก่น
43,โครงการที่ 15,ปัจจัยเสี่ยง,ดงเมือง,เมืองเพชรบูรณ์,หนองบัวลำภู
44,โครงการที่ 19,บุหรี่ไฟฟ้า,หนองโน,นายูง,นครศรีธรรมราช
45,โครงการที่ 16,ความมั่นคงทางอาหาร,ห้วยข้อง,วังชิ้น,ลำปาง
